date,income,outcome,balance,income - outcome,non_working_day,non_working_day_usd,isholiday,key_rate,day_before_holiday,tax,day_before_tax,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,start_of_month,end_of_month,year_2017,year_2018,year_2019,year_2020,year_2021,January,February,March,April,May,June,July,August,September,October,November,December
2017-01-09,1.34302844519589,1.487864846148386,-0.1559036386263838,-0.14483640095249606,0,0,0,10.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-01-10,1.0686103210858036,1.1941824549802276,-0.1255721339075909,-0.125572133894424,0,0,0,10.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-01-11,0.9444291149567444,0.9366625183417424,0.0077665966202687,0.007766596615002008,0,0,0,10.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-01-12,1.6722020837242924,0.8753789642569223,0.8003907709476724,0.7968231194673701,0,0,0,10.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-01-13,0.9559239896622695,0.9756451203419984,-0.0197211306797287,-0.019721130679728804,0,0,0,10.0,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-01-14,0.0,0.0,0.0,0.0,1,1,0,10.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-01-15,0.0,0.0,0.0,0.0,1,1,0,10.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-01-16,1.0823413586798478,1.0243449325493723,0.0579964261304756,0.05799642613047551,0,1,0,10.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-01-17,0.8963335667054485,1.4483640095249777,-0.5485185355650501,-0.5520304428195292,0,0,0,10.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-01-18,0.7547589142354276,0.8795602298573381,-0.1248013156219104,-0.12480131562191044,0,0,0,10.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-01-19,0.9498771712289816,0.9552678729316222,-0.0053907017000069,-0.005390701702640555,0,0,0,10.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-01-20,1.02418656209527,1.1380867931497325,-0.1139002310412954,-0.11390023105446256,0,0,0,10.0,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-01-21,0.0,0.0,0.0,0.0,1,1,0,10.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-01-22,0.0,0.0,0.0,0.0,1,1,0,10.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-01-23,1.1107177636043406,1.2200637878081988,-0.1093460242038583,-0.1093460242038582,0,0,0,10.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-01-24,1.0404757744250093,0.967099810132594,0.0733759642924153,0.07337596429241522,0,0,0,10.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-01-25,1.0799640656748748,1.1937266380122409,-0.1137625723373658,-0.11376257233736609,0,0,0,10.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-01-26,0.9782956311800286,1.112359273893516,-0.1340636427134873,-0.13406364271348736,0,0,0,10.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-01-27,1.196395889745701,1.395696227360433,-0.1984834782072388,-0.19930033761473198,0,0,0,10.0,0.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-01-28,0.0,0.0,0.0,0.0,1,1,0,10.0,0.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-01-29,0.0,0.0,0.0,0.0,1,1,0,10.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-01-30,1.3037324465467592,1.461530955066114,-0.1547027394449702,-0.15779850851935473,0,0,0,10.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-01-31,1.2604019846416386,1.2874019288241765,-0.0269999441693706,-0.026999944182537927,0,0,0,10.0,0.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-02-01,0.9535028694125404,0.8601942251291382,0.093308644283402,0.09330864428340213,0,0,0,10.0,0.0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2017-02-02,0.9822268561291104,0.8989108102198515,0.083316045909259,0.0833160459092589,0,0,0,10.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2017-02-03,0.9875557893465012,0.9807645904058157,0.0067911989354189,0.006791198940685583,0,0,0,10.0,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2017-02-04,0.0,0.0,0.0,0.0,1,1,0,10.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2017-02-05,0.0,0.0,0.0,0.0,1,1,0,10.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2017-02-06,0.9111923489453346,0.9434745893533296,-0.0322822404079951,-0.03228224040799499,0,0,0,10.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2017-02-07,0.911931050259448,0.9532203415877984,-0.0412892913283506,-0.041289291328350464,0,0,0,10.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2017-02-08,1.1024221678878618,0.9054784032195878,0.1969437646682741,0.196943764668274,0,0,0,10.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2017-02-09,1.5010317916895224,1.0717165026728903,0.4346808287785116,0.4293152890166321,0,0,0,10.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2017-02-10,1.147702380212817,0.9641494958447594,0.1835528843548906,0.1835528843680576,0,0,0,10.0,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2017-02-11,0.0,0.0,0.0,0.0,1,1,0,10.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2017-02-12,0.0,0.0,0.0,0.0,1,1,0,10.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2017-02-13,1.1024737343208666,1.29294362217197,-0.190469887851103,-0.1904698878511033,0,0,0,10.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2017-02-14,0.982352785046438,1.0685305557955502,-0.0861777707491121,-0.08617777074911226,0,0,0,10.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
