date,mosprime_rub_1m,mosprime_rub_1w,mosprime_rub_2m,mosprime_rub_2w,mosprime_rub_3m,mosprime_rub_6m,mosprime_rub_on
2017-01-01,10.43,10.38,10.49,10.41,10.49,10.49,10.37
2017-01-02,10.43,10.38,10.49,10.41,10.49,10.49,10.37
2017-01-03,10.43,10.38,10.49,10.41,10.49,10.49,10.37
2017-01-04,10.43,10.38,10.49,10.41,10.49,10.49,10.37
2017-01-05,10.43,10.38,10.49,10.41,10.49,10.49,10.37
2017-01-06,10.43,10.38,10.49,10.41,10.49,10.49,10.37
2017-01-07,10.43,10.38,10.49,10.41,10.49,10.49,10.37
2017-01-08,10.43,10.38,10.49,10.41,10.49,10.49,10.37
2017-01-09,10.52,10.44,10.58,10.47,10.58,10.58,10.46
2017-01-10,10.53,10.4,10.59,10.48,10.59,10.59,10.21
2017-01-11,10.53,10.4,10.59,10.48,10.59,10.59,10.23
2017-01-12,10.53,10.42,10.59,10.48,10.59,10.59,10.23
2017-01-13,10.51,10.4,10.58,10.45,10.59,10.59,10.27
2017-01-14,10.51,10.4,10.58,10.45,10.59,10.59,10.27
2017-01-15,10.51,10.4,10.58,10.45,10.59,10.59,10.27
2017-01-16,10.47,10.42,10.51,10.44,10.52,10.52,10.32
2017-01-17,10.46,10.42,10.49,10.44,10.5,10.5,10.37
2017-01-18,10.46,10.42,10.49,10.44,10.5,10.5,10.38
2017-01-19,10.46,10.48,10.49,10.48,10.5,10.5,10.43
2017-01-20,10.46,10.46,10.49,10.49,10.5,10.5,10.3
2017-01-21,10.46,10.46,10.49,10.49,10.5,10.5,10.3
2017-01-22,10.46,10.46,10.49,10.49,10.5,10.5,10.3
2017-01-23,10.46,10.43,10.49,10.44,10.5,10.5,10.23
2017-01-24,10.46,10.41,10.49,10.43,10.5,10.5,10.15
2017-01-25,10.46,10.42,10.49,10.43,10.5,10.5,10.23
2017-01-26,10.48,10.47,10.49,10.46,10.52,10.52,10.44
