usd_xr,date
60.65690000,2017-01-01
60.65690000,2017-01-02
60.65690000,2017-01-03
60.65690000,2017-01-04
60.65690000,2017-01-05
60.65690000,2017-01-06
60.65690000,2017-01-07
60.65690000,2017-01-08
60.65690000,2017-01-09
59.89610000,2017-01-10
59.95330000,2017-01-11
60.16140000,2017-01-12
59.49780000,2017-01-13
59.37000000,2017-01-14
59.37000000,2017-01-15
59.37000000,2017-01-16
59.60670000,2017-01-17
59.40150000,2017-01-18
59.18300000,2017-01-19
59.35210000,2017-01-20
59.66970000,2017-01-21
59.66970000,2017-01-22
59.66970000,2017-01-23
59.50340000,2017-01-24
59.21680000,2017-01-25
59.14890000,2017-01-26
59.63560000,2017-01-27
60.31960000,2017-01-28
60.31960000,2017-01-29
60.31960000,2017-01-30
60.16180000,2017-01-31
60.08510000,2017-02-01
60.30990000,2017-02-02
59.98580000,2017-02-03
59.31370000,2017-02-04
59.31370000,2017-02-05
59.31370000,2017-02-06
58.71210000,2017-02-07
59.19330000,2017-02-08
59.51290000,2017-02-09
59.02350000,2017-02-10
58.84570000,2017-02-11
58.84570000,2017-02-12
58.84570000,2017-02-13
58.06190000,2017-02-14
57.73880000,2017-02-15
56.77190000,2017-02-16
57.15070000,2017-02-17
57.63420000,2017-02-18
57.63420000,2017-02-19
57.63420000,2017-02-20
58.09670000,2017-02-21
57.85900000,2017-02-22
57.47620000,2017-02-23
57.47620000,2017-02-24
57.47620000,2017-02-25
57.47620000,2017-02-26
57.47620000,2017-02-27
57.93710000,2017-02-28
57.96270000,2017-03-01
58.37760000,2017-03-02
58.40670000,2017-03-03
58.90990000,2017-03-04
58.90990000,2017-03-05
58.90990000,2017-03-06
58.33700000,2017-03-07
58.26300000,2017-03-08
58.26300000,2017-03-09
58.83180000,2017-03-10
59.21740000,2017-03-11
59.21740000,2017-03-12
59.21740000,2017-03-13
59.13270000,2017-03-14
58.95400000,2017-03-15
59.11280000,2017-03-16
58.24370000,2017-03-17
57.93440000,2017-03-18
57.93440000,2017-03-19
57.93440000,2017-03-20
57.28470000,2017-03-21
57.23230000,2017-03-22
57.63600000,2017-03-23
57.52280000,2017-03-24
57.42470000,2017-03-25
57.42470000,2017-03-26
57.42470000,2017-03-27
57.02330000,2017-03-28
56.93640000,2017-03-29
57.02410000,2017-03-30
56.37790000,2017-03-31
55.96060000,2017-04-01
55.96060000,2017-04-02
55.96060000,2017-04-03
56.13960000,2017-04-04
56.55530000,2017-04-05
55.89400000,2017-04-06
56.43690000,2017-04-07
56.92010000,2017-04-08
56.92010000,2017-04-09
56.92010000,2017-04-10
57.38960000,2017-04-11
56.95520000,2017-04-12
56.75560000,2017-04-13
56.60190000,2017-04-14
56.29450000,2017-04-15
56.29450000,2017-04-16
56.29450000,2017-04-17
56.25050000,2017-04-18
55.97930000,2017-04-19
56.17530000,2017-04-20
56.41650000,2017-04-21
56.23070000,2017-04-22
56.23070000,2017-04-23
56.23070000,2017-04-24
56.07940000,2017-04-25
55.84530000,2017-04-26
56.31310000,2017-04-27
56.97070000,2017-04-28
56.98380000,2017-04-29
56.98380000,2017-04-30
56.98380000,2017-05-01
56.98380000,2017-05-02
56.95180000,2017-05-03
57.09270000,2017-05-04
57.57140000,2017-05-05
58.53820000,2017-05-06
58.53820000,2017-05-07
58.53820000,2017-05-08
58.53820000,2017-05-09
58.53820000,2017-05-10
58.08240000,2017-05-11
57.11610000,2017-05-12
57.16400000,2017-05-13
57.16400000,2017-05-14
57.16400000,2017-05-15
56.52580000,2017-05-16
56.26030000,2017-05-17
56.73830000,2017-05-18
57.46830000,2017-05-19
57.16020000,2017-05-20
57.16020000,2017-05-21
57.16020000,2017-05-22
56.49880000,2017-05-23
56.55520000,2017-05-24
56.27430000,2017-05-25
56.07010000,2017-05-26
56.75600000,2017-05-27
56.75600000,2017-05-28
56.75600000,2017-05-29
56.71060000,2017-05-30
56.51680000,2017-05-31
56.68760000,2017-06-01
56.53730000,2017-06-02
56.68760000,2017-06-03
56.68760000,2017-06-04
56.68760000,2017-06-05
56.61520000,2017-06-06
56.67470000,2017-06-07
56.58780000,2017-06-08
56.98570000,2017-06-09
57.00200000,2017-06-10
57.00200000,2017-06-11
57.00200000,2017-06-12
57.00200000,2017-06-13
56.90960000,2017-06-14
57.03030000,2017-06-15
57.44370000,2017-06-16
57.74080000,2017-06-17
57.74080000,2017-06-18
57.74080000,2017-06-19
57.95850000,2017-06-20
58.57860000,2017-06-21
60.00000000,2017-06-22
60.14820000,2017-06-23
59.65640000,2017-06-24
59.65640000,2017-06-25
59.65640000,2017-06-26
59.00140000,2017-06-27
58.88430000,2017-06-28
59.54150000,2017-06-29
59.08550000,2017-06-30
59.38620000,2017-07-01
59.38620000,2017-07-02
59.38620000,2017-07-03
58.96950000,2017-07-04
59.22950000,2017-07-05
59.57870000,2017-07-06
60.24260000,2017-07-07
60.37920000,2017-07-08
60.37920000,2017-07-09
60.37920000,2017-07-10
60.30140000,2017-07-11
60.73970000,2017-07-12
60.62270000,2017-07-13
60.18360000,2017-07-14
59.88060000,2017-07-15
59.88060000,2017-07-16
59.88060000,2017-07-17
59.06570000,2017-07-18
59.37050000,2017-07-19
59.24180000,2017-07-20
59.08230000,2017-07-21
58.93250000,2017-07-22
58.93250000,2017-07-23
58.93250000,2017-07-24
59.65720000,2017-07-25
59.81850000,2017-07-26
59.91020000,2017-07-27
59.41020000,2017-07-28
59.54360000,2017-07-29
59.54360000,2017-07-30
59.54360000,2017-07-31
60.06330000,2017-08-01
59.84540000,2017-08-02
60.58190000,2017-08-03
60.75030000,2017-08-04
60.32810000,2017-08-05
60.32810000,2017-08-06
60.32810000,2017-08-07
60.06050000,2017-08-08
59.98860000,2017-08-09
59.96110000,2017-08-10
59.92980000,2017-08-11
60.18730000,2017-08-12
60.18730000,2017-08-13
60.18730000,2017-08-14
59.79900000,2017-08-15
59.92660000,2017-08-16
59.65210000,2017-08-17
59.24900000,2017-08-18
59.36120000,2017-08-19
59.36120000,2017-08-20
59.36120000,2017-08-21
59.14090000,2017-08-22
59.03960000,2017-08-23
59.13120000,2017-08-24
59.13970000,2017-08-25
59.14760000,2017-08-26
59.14760000,2017-08-27
59.14760000,2017-08-28
58.54690000,2017-08-29
58.53200000,2017-08-30
58.73060000,2017-08-31
58.54540000,2017-09-01
58.05570000,2017-09-02
58.05570000,2017-09-03
58.05570000,2017-09-04
57.78170000,2017-09-05
57.85030000,2017-09-06
57.33870000,2017-09-07
57.14110000,2017-09-08
56.99660000,2017-09-09
56.99660000,2017-09-10
56.99660000,2017-09-11
57.16940000,2017-09-12
57.26560000,2017-09-13
57.66790000,2017-09-14
57.77060000,2017-09-15
57.53360000,2017-09-16
57.53360000,2017-09-17
57.53360000,2017-09-18
57.62420000,2017-09-19
58.09930000,2017-09-20
58.12900000,2017-09-21
58.22420000,2017-09-22
57.65270000,2017-09-23
57.65270000,2017-09-24
57.65270000,2017-09-25
57.56600000,2017-09-26
57.51860000,2017-09-27
58.01020000,2017-09-28
58.42550000,2017-09-29
58.01690000,2017-09-30
58.01690000,2017-10-01
58.01690000,2017-10-02
57.81340000,2017-10-03
57.93750000,2017-10-04
57.78320000,2017-10-05
57.58110000,2017-10-06
57.76120000,2017-10-07
57.76120000,2017-10-08
57.76120000,2017-10-09
58.31510000,2017-10-10
58.07130000,2017-10-11
57.92100000,2017-10-12
57.68690000,2017-10-13
57.61960000,2017-10-14
57.61960000,2017-10-15
57.61960000,2017-10-16
57.08610000,2017-10-17
57.33920000,2017-10-18
57.27210000,2017-10-19
57.57060000,2017-10-20
57.51180000,2017-10-21
57.51180000,2017-10-22
57.51180000,2017-10-23
57.47060000,2017-10-24
57.58520000,2017-10-25
57.61400000,2017-10-26
57.76430000,2017-10-27
58.08330000,2017-10-28
58.08330000,2017-10-29
58.08330000,2017-10-30
57.87160000,2017-10-31
58.11790000,2017-11-01
58.15570000,2017-11-02
58.08690000,2017-11-03
58.42960000,2017-11-04
58.42960000,2017-11-05
58.42960000,2017-11-06
58.42960000,2017-11-07
58.45570000,2017-11-08
59.24800000,2017-11-09
59.25270000,2017-11-10
59.28080000,2017-11-11
59.28080000,2017-11-12
59.28080000,2017-11-13
59.18230000,2017-11-14
59.62070000,2017-11-15
60.24900000,2017-11-16
59.98980000,2017-11-17
59.63250000,2017-11-18
59.63250000,2017-11-19
59.63250000,2017-11-20
59.27460000,2017-11-21
59.46040000,2017-11-22
59.00610000,2017-11-23
58.46220000,2017-11-24
58.53180000,2017-11-25
58.53180000,2017-11-26
58.53180000,2017-11-27
58.27730000,2017-11-28
58.41250000,2017-11-29
58.33110000,2017-11-30
58.58140000,2017-12-01
58.51820000,2017-12-02
58.51820000,2017-12-03
58.51820000,2017-12-04
58.99110000,2017-12-05
58.69240000,2017-12-06
58.92810000,2017-12-07
59.29480000,2017-12-08
59.28110000,2017-12-09
59.28110000,2017-12-10
59.28110000,2017-12-11
59.23480000,2017-12-12
58.83700000,2017-12-13
59.14460000,2017-12-14
58.70820000,2017-12-15
58.89870000,2017-12-16
58.89870000,2017-12-17
58.89870000,2017-12-18
58.69400000,2017-12-19
58.61170000,2017-12-20
58.71700000,2017-12-21
58.55960000,2017-12-22
58.31520000,2017-12-23
58.31520000,2017-12-24
58.31520000,2017-12-25
58.19890000,2017-12-26
57.73430000,2017-12-27
57.45440000,2017-12-28
57.62910000,2017-12-29
57.60020000,2017-12-30
57.60020000,2017-12-31
57.60020000,2018-01-01
57.60020000,2018-01-02
57.60020000,2018-01-03
57.60020000,2018-01-04
57.60020000,2018-01-05
57.60020000,2018-01-06
57.60020000,2018-01-07
57.60020000,2018-01-08
57.60020000,2018-01-09
57.04630000,2018-01-10
56.87340000,2018-01-11
56.99570000,2018-01-12
56.60190000,2018-01-13
56.60190000,2018-01-14
56.60190000,2018-01-15
56.35690000,2018-01-16
56.38780000,2018-01-17
56.59250000,2018-01-18
56.75970000,2018-01-19
56.58920000,2018-01-20
56.58920000,2018-01-21
56.58920000,2018-01-22
56.62610000,2018-01-23
56.41150000,2018-01-24
56.38880000,2018-01-25
55.92880000,2018-01-26
55.82880000,2018-01-27
55.82880000,2018-01-28
55.82880000,2018-01-29
56.29080000,2018-01-30
56.29140000,2018-01-31
56.18400000,2018-02-01
56.26130000,2018-02-02
56.04080000,2018-02-03
56.04080000,2018-02-04
56.04080000,2018-02-05
56.62780000,2018-02-06
57.21960000,2018-02-07
56.95330000,2018-02-08
57.67360000,2018-02-09
58.17180000,2018-02-10
58.17180000,2018-02-11
58.17180000,2018-02-12
58.01710000,2018-02-13
57.77010000,2018-02-14
57.58990000,2018-02-15
56.59180000,2018-02-16
56.35540000,2018-02-17
56.35540000,2018-02-18
56.35540000,2018-02-19
56.34380000,2018-02-20
56.52010000,2018-02-21
56.65370000,2018-02-22
56.76080000,2018-02-23
56.76080000,2018-02-24
56.76080000,2018-02-25
56.76080000,2018-02-26
55.92080000,2018-02-27
